year,school,course_name,course_code,course_description,,cca_name,cca_description
2021,School of Film & Media Studies,"Diploma in Film, Sound & Video",N82,"Diploma in Film, Sound & Video (N82) provides a strong foundation in the artistic and technical aspects of filmmaking. Through the course, students will acquire skills to help them propel their career in the film and media industry.",,Song Composing,"Kick start your music or song writing career with the Song Composing Club. Focusing on English Pop/Rock music, members will be taught the essentials of song writing, including basic musical and compositional theory. Members are provided with their very own studio, exclusive to the club, for practice sessions and to experiment with music by themselves. Contact us at: cca_song@connect.np.edu.sg"
2021,School of Film & Media Studies,Diploma in Mass Communication,N67,"Diploma in Mass Communication (N67) offers a robust broad-based curriculum covering print, online and broadcast journalism to advertising, public relations, radio, TV and social media, preparing our students for a career in the media industry.",,Stage Production,The Poly Stage Production (PSP) aims to expose its members to what lies behind the scenes of stage productions. Members will learn about backstage production and the handling of light and sound systems. PSP has assisted in campus concerts for local and international artists. The club also regularly provides support for campus performances and events of the other CCA clubs. Contact us at: cca_stage@connect.np.edu.sg
2021,School of Film & Media Studies,Diploma in Media Post-Production,N13,"Diploma in Media Post-Production (N13) covers traditional film and television post-production skills like editing, color correction and 3D computer and motion graphics. It will also cover post-production for AR/VR, immersive media and live shows.",,Strings,"The Strings Club aims to promote the appreciation of classical music amongst students. The club consists of 2 sections: Strings Ensemble and Guitar Ensemble. To increase the versatility of the club, the Strings Club hopes to adapt and infuse new genres, such as pop, into their music. The club is also actively involved in performing for various school and external events. Contact us at: cca_strings@connect.np.edu.sg"
2021,School of Health Sciences,Diploma in Nursing,N69,Diploma in Nursing (N69) is accredited by the Singapore Nursing Board and is a comprehensive course that prepares students to be versatile and work-ready nurses with a human touch.,,Voices,"Each singer in NP Voices learns to grow and flourish as performers, and gain appreciation of different genres of music in Chorale and A Capp?ella singing. Every year, NP Voices holds its biggest event: Grandioso. Other regular activities include in-school training camps and mini-concerts. Members can also participate in carolling during the Christmas season every year. Contact us at: cca_voices@connect.np.edu.sg"
2021,School of Health Sciences,Diploma in Optometry,N83,Diploma in Optometry (N83) prepares students to become an optometrist to diagnose eye disorders and prescribe optical corrections to meet the increasing demand of eye care services due to the aging population and myopia epidemic in Singapore.,,Aerobics,"The NP Aerobics Club caters to individuals of all fitness levels, from those who have not tried aerobics to those who already have their own exercise regime. Workouts include cardiovascular training, muscle strengthening and toning exercises, and strength and weight training. Contact us at: cca_aerobics@connect.np.edu.sg Follow us on Instagram: @npaerobics"
2021,School of Humanities & Social Sciences,Diploma in Arts Business Management,N91,Diploma in Arts Business Management (N91) develops arts and heritage managers with grounding in both arts and heritage management and business.Graduates will be equipped with the necessary skills needed to develop and manage arts and heritage enterprises.,,Archery ,"Since its inception in 1998, the Archery Club has won numerous medals in national-level competitions. Particularly skilled and passionate club members have also been a part of Singapore's National Team, or had the opportunity to represent the polytechnic in archery competitions and events. Contact us at: cca_archery@connect.np.edu.sg Follow us on Instagram: @nparchery"
2021,School of Humanities & Social Sciences,Diploma in Chinese Media & Communication,N88,"Diploma in Chinese Media & Communication (N88) is the only local programme that specialises in the Chinese Media industry.  The diploma aims to nurture creative media professionals who are bilingual, and well-versed in Chinese culture.",,Badminton,"The badminton club provides a great environment for recreational players who want to improve their skills by sparring matches and workouts. The club also provides leadership training, in the form of planning and management. The club is the executive organiser of tournaments, such as the Inter-Club Badminton Competition, as well as Intra-School badminton competitions like NP Open, NP Doubles and Polympics.  Contact us at: cca_badminton@connect.np.edu.sg Follow us on Instagram: npbadmintonclub"
2021,School of Humanities & Social Sciences,Diploma in Chinese Studies,N70,"Diploma in Chinese Studies (N70) develops professionals who are proficient in Chinese language and culture. Students can work as Chinese language teachers in pre and primary schools, translators, journalists, or heritage programme managers.",,Basketball,The Ngee Ann Basketball Club is one of the ranked institutes in the Inter-Varsity Championships. Interested members are welcome to join the club for try-outs and training sessions. The club also conducts annual camps and friendly matches outside of training time. Contact us at: cca_basketball@connect.np.edu.sg  Follow us on Instagram: npbasketball_team
2021,School of Humanities & Social Sciences,Diploma in Community Development,N11,"Diploma in Community Development (N11) aims to develop compassionate, enterprising, and reflective professionals with knowledge of the different segments of the community, and the principles of social innovation and business development, to empower communities to effect change.",,Bowling,"The Bowling Club aims to develop and train members in bowling. They believe it is a game played with cunning strategy, mental strength, and keen teamwork. The club is open to individuals of any experience level. Contact us at: cca_bowling@connect.np.edu.sg Follow us on Instagram: np_bowlingclub"
2021,School of Humanities & Social Sciences,Diploma in Early Childhood Development & Education,N96,"Diploma in Early Childhood Development & Education (N96), recognised by the Early Childhood Development Agency (ECDA), aims equips students with the practical skillset and necessary knowledge to pursue a career in early childhood.",,Canoeing,The Canoeing Club trains intensely in two main groups: Canoe Polo and Canoe Sprinting. The first is a competitive sport that is a mix of basketball and water polo on kayaks. The latter consists of canoe marathons and sprinting competitions that test your strength and endurance. Sprinting boats are built differently from Canoe Polo boats and can achieve greater speeds. Contact us at: cca_canoeing@connect.np.edu.sg Follow us on Instagram: npcanoeing
2021,School of Humanities & Social Sciences,Diploma in Tamil Studies with Early Education,N95,Diploma in Tamil Studies with Early Education (N95) is the first and only such diploma course in Singapore. [NP] Diploma provides students with the needed knowledge and skills to pursue a career as Tamil Language preschool teacher.,,Climbing Club,"The Climbing Club specialises in adventure racing and rock climbing. Adventure Racing is a multi-discipline endurance ""sport"", with elements from various other adventure sports thrown into the mix. Under Rock Climbing, the club focuses on top rope climbing, speed climbing, bouldering and lead climbing. The club also has their own tower, equipped with climbing lanes, abseil lanes, flying fox, and various low elements. Contact us at: cca_climbing@connect.np.edu.sg Follow us on Instagram: npsloths"
2021,School of InfoComm Technology,Common ICT Programme,N98,Common ICT Programme (N98) provides students more time to discover their interests by taking foundation modules introducing the three IT-related diplomas they can choose at the end of their first semester.,,Cue Sports,"With cue sports, it’s all about skills, precision and strategy. Cue sports is a billiard game that is played using 22 balls – one cue ball, 15 red balls, and 6 different coloured balls with different point valuations. Members will learn to master the game and become better competitive or recreational players.  Contact us at: cca_snooker@connect.np.edu.sg Follow us on Instagram: npcuesports"
2021,School of InfoComm Technology,Diploma in Cybersecurity & Digital Forensics,N94,"Diploma in Cybersecurity & Digital Forensics (N94)  equips graduates with technical and general skills & competencies required to carry out critical work functions and key tasks related to vulnerability assessment and penetration testing, security operations, digital forensics investigation, cyber incident response, secure software development, and cyber governance, risk and data protection.",,Dragon Boat,"The Dragon Boat Club (NPDB) carries an illustrious history, coupled with a fierce reputation for determination and strength in the Singapore Dragon Boat fraternity. The team participates in international regattas and races, such as the Malaysian Dragon Boat Regatta, and in non-dragon boat events like 'Surf & Sweat' that help to foster team spirit and co-operation. Contact us at: cca_dragonboat@connect.np.edu.sg Follow us on Instagram: npdragonboat"
2021,School of InfoComm Technology,Diploma in Data Science,N81,"Diploma in Data Science (N81) is designed to train students to fully grasp new employment opportunities in the field of data analytics and data engineering. As data analysts, graduates use analytical tools and apply software tools to investigate leads, identify patterns and insights from data, and offer solutions to address information needs of the organisation. As data engineers, they would set up data pipelines to ingest data from multiple sources, perform data extraction, transformation, and loading tasks, and wrangle data for further processing.",,Fencing,The Fencing Club exercises both the mind and the body. New members have the opportunity choose which weapon group they are most comfortable with. The club participates in the annual Novices and Fencing Singapore (FS) competitions and the Inter-School Fencing Invites. Contact us at: cca_fencing@connect.np.edu.sg
2021,School of InfoComm Technology,Diploma in Immersive Media,N55,"Diploma in Immersive Media (N55) is a practice-oriented course that equip you with the technical and creative skills needed for the cutting-edge field of immersive media, and learn how to bridge design and technology with user experience and user interface (UX/UI) design. You will receive rigorous training in design and programming, as well as gamification concepts and rules intended to produce an enjoyable game or extended reality experience (AR, VR & MR).",,Floorball,"Floorball may be one of Singapore's youngest sports, but NP Floorball has a competitive team that takes part in Polytechnic-ITE (POL-ITE) and Inter Varsity Polytechnic (IVP) competitions. These help players gain exposure and experience.The club also organises training and bonding camps and gatherings. Contact us at: cca_floorball@connect.np.edu.sg"
2021,School of InfoComm Technology,Diploma in Information Technology,N54,"Diploma in Information Technology (N54) allows you to develop innovative IT solutions that increase business competitiveness and enhance quality of life, or even start your very own e-business.",,Football,NP’s Football club gives students the opportunity to develop both as a football player and an individual. They believe in pushing each member to their fullest potential and endeavouring to be the best. The team’s passion and hard work has brought them success in the POL-ITE and Institute-Varsity-Polytechnic games.  Contact us at: cca_football@connect.np.edu.sg
2021,School of Life Sciences & Chemical Technology,Diploma in Biomedical Science,N59,"Diploma in Biomedical Science (N59) offers a broad-based curriculum designed to develop analytical, research and problem solving skills to prepare students for Singapore?s biomedical science and biotechnology sectors.",,Handball,"Handball is a fast-paced and dynamic contact sport that requires athleticism, strength and teamwork. The NP Handball club came in 1st runner up in the POL-ITE Games in 2011 and emerged champions in 2012. The club also offers opportunities for members to polish their skills in regular friendly matches and tournaments.  Contact us at: cca_handball@connect.np.edu.sg"
2021,School of Life Sciences & Chemical Technology,Diploma in Chemical & Biomolecular Engineering,N56,Diploma in Chemical & Biomolecular Engineering (N56) equips students with the practical skillset and necessary knowledge for the operations of industrial chemical and biopharmaceutical processes.,,Hockey,"The Hockey Club strives to do well in the POL-ITE and Inter-Varsity tournaments every year, and considers that their benchmark in competitive success. The club welcomes students who are interested in picking up hockey for recreation or looking to become more competent sportsmen and sportswomen. They also organise friendly matches with other schools and clubs. Contact us at: cca_hockey@connect.np.edu.sg"
2021,School of Life Sciences & Chemical Technology,Diploma in Environmental & Water Technology,N74,"Diploma in Environmental & Water Technology (N74) focuses on environmental science and technology to equip students with domain specific knowledge and skills in water, environment and related industries.",,Inline Skating,"The Inline Skating Club is home to a sport of finesse and strength — roller-skating. The two aspects they focus on are slide and slalom. Under slide, skaters position their legs differently to execute various slides, while in slalom, skaters manoeuvre through a line of cones while performing tricks. Contact us at: cca_inline@connect.np.edu.sg"
2021,School of Life Sciences & Chemical Technology,Diploma in Landscape Design & Horticulture,N57,"Diploma in Landscape Design & Horticulture (N57) provides broad based training in landscape design, plant sciences and horticulture management.",,Judo,"Judo teaches the principle of flexibility in the application of technique. It cultivates self-discipline and respect for oneself and others, by providing the means for concentration and physical coordination, power and flexibility. Training sessions include practising throws and groundwork, learning new techniques, and tandoori (free practice). Contact us at: cca_judo@connect.np.edu.sg"
2021,School of Life Sciences & Chemical Technology,Diploma in Pharmaceutical Science,N73,Diploma in Pharmaceutical Science (N73) allows you to discover what it is like to work at the forefront of drug therapy and improve human health. You get to acquire knowledge and skills in clinical practice and the industry.,,Lifesaving,"The main aim of the NP Lifesaving corps is to prevent the loss of life and promote the safe participation in water related pursuits. The team trains for internationally recognised lifesaving awards, as well as participates in annual lifesaving competitions like NUS Lifesaving Invitational and SLSS National Lifesaving Championships. Contact us at: cca_lifesaving@connect.np.edu.sg"
,,,,,,Muay Thai,"Requiring dedication and a spirit that embraces learning, the club focuses on San Da and Muay Thai: San Da, also known as Chinese Kickboxing, encourages the use of slamming and wrestling, while Muay Thai, referred to as “The Art of the Eight Limbs”, extensively utilises elbows and knees. Contact us at: cca_muaythai@connect.np.edu.sg"
,,,,,,Netball,"As the only all-female sports club in NP, the netball club is se parated into two teams: competitive team and recreational. The competitive team trains twice a week to prepare themselves for two key competitions held each year. The recreational team trains once a week, and are encouraged to participate to the fullest in organised friendly matches. Contact us at: cca_netball@connect.np.edu.sg"
,,,,,,Outdoor Adventure Club,"The Outdoor Adventure Club (ODAC) aims to make safe and enjoyable adventure available to the masses. Members with adventurous pursuits are able to polish their technical and non-technical skills through certified courses, skill-based camps and events that are skewed towards developing a strong mental tenacity and physical fitness. Contact us at: cca_odac@connect.np.edu.sg"
,,,,,,Rugby,"The Rugby Club aims to promote rugby as a gentlemen's game to students. The club also attracts top players from various local and national rugby clubs. Besides maintaining the highest standards on the pitch, the Rhinos’ camaraderie and fighting spirit is also evident from the various friendly tournaments, camps and bonding sessions. Contact us at: cca_rugby@connect.np.edu.sg"
,,,,,,Silat,"NP Silat focuses on teaching 'tanding' (match sparring) techniques to its members. However, during season trainings, members will get to choose to join the standing category or the 'seni' (artistic) category for competitions. The club has done the school proud in many competitions, most notably the Inter-Varsity and POL-ITE games. Contact us at: cca_silat@connect.np.edu.sg"
,,,,,,Shooting,"As the sole shooting club among the polytechnics to date, the club aims to pave the way for the Shooting Sport at the Polytechnic level. The club focuses on the 10-meter Air Rifle and 10-meter Air Pistol as classifications. Contact us at: cca_shooting@connect.np.edu.sg"
,,,,,,Softball,"With a strong emphasis on extensive teamwork, cooperation and communication between members, softball is an ideal sport for those keen on trying out a new and challenging sport. The club also encourages members to share their experience, knowledge and passion for the sport with fellow softball maniacs. Contact us at: cca_softball@connect.np.edu.sg"
,,,,,,Squash,"The squash club gives players both physical and mental training. Numerous drills and types of play are implemented during training sessions to help players improve and increase their fitness levels. The club aims to gather students of all experience levels to play the sport, either for recreation, exercise, or competition Contact us at: cca_squash@connect.np.edu.sg"
,,,,,,Swimming,"With over 10 years of history, the Ngee Ann Swim Team has established itself as more than just a sports CCA. Training is not just filled with laps of monotonous stroke work, but also aims to develop competitive individuals. Through annual competitions, swimmers hone their skills and experience. Contact us at: cca_swimming@connect.np.edu.sg"
,,,,,,Table Tennis ,"The Table Tennis club aims to help members discover their interest and unleash their fullest potential. Catering to both recreational and competitive players, the latter vie for 10 to 12 positions to represent the school in tournaments. The club also organises camps for members to improve their skills to prepare them physically and mentally for competitions. Contact us at: cca_tabletennis@connect.np.edu.sg"
,,,,,,Taekwondo,"Taekwondo, ??? , is a traditional Korean martial art form which combines combat techniques, self-defence, discipline, sport, exercise, meditation and philosophy. Members will get a chance to learn different sparring techniques and utilise it in our contact sparring sessions. Every three months, members go for pattern grading to upgrade their belt level. Contact us at: cca_tkd@connect.np.edu.sg"
,,,,,,Tchoukball,"Tchoukball is a fast-paced invasion sport and is played recreationally and competitively in the club. Members get to experience a unique form of teamwork and pick up ball handling and throwing techniques. They also develop speed, agility and reaction skills while improving fitness levels. Contact us at: cca_tchouk@connect.np.edu.sg"
,,,,,,Tennis,"The Tennis Club consistently serves up the aces in the inter POL-ITE games and varsity tournaments. Members learn to correct common mistakes, sharpen their focus and strengthen their determination. They also master the techniques, improve stamina and cultivate the mental perseverance to sustain a tennis match Contact us at: cca_tennis@connect.np.edu.sg"
,,,,,,Touch Rugby,"Touch Rugby training is designed to make one confident by imparting good skills and technique. Through regular training sessions, members are able to constantly improve their skills. In addition, to gain experience and exposure, the club organises friendlies with other schools and participates actively in carnivals such as the Winter Touch League (WTL) and the M1 School Rugby Series. Contact us at: cca_touchrugby@connect.np.edu.sg"
,,,,,,Track and Field,"NP Track and Field trains for a multitude of disciplines, from throws to short distance sprints, and even middle distances. Besides national level competitions like the POL-ITE games and inter-varsity tournaments, the club also participates in local track meets for members to gain competition experience. Contact us at: cca_track@connect.np.edu.sg"
,,,,,,Ultimate Frisbee,"From hand-eye coordination found in basketball, to skilful team-play found in football, to accurate passes found in hockey, ultimate frisbee has it all. The club aims to spread awareness of Ultimate Frisbee, and welcomes students of all experience levels Contact us at: cca_frisbee@connect.np.edu.sg"
,,,,,,Volleyball,"The volleyball club holds training camps at the end of each year to provide campers a more intensive and detailed training, as well as organises inter-club and inter-school competitions such as Polympics. Aside from the club’s recreational aspect, the club also represents NP in inter-varsity competitions.  Contact us at: cca_volleyball@connect.np.edu.sg"
,,,,,,Water Polo,"Water Polo is a fast-paced sport where tactics, teamwork, an alert mind, hand to eye coordination and fitness work hand in hand. Over the last few years, the Water Polo Club has brought the game to a whole new level in the polytechnic fraternity by winning gold in POL-ITE games Contact us at: cca_waterpolo@connect.np.edu.sg"
,,,,,,Wushu,"The Wushu club aims to promote the martial arts through opportunities for achievement and self-satisfaction. The club offers its members a good mix of traditional, free-style and international routines, and its members have participated in several Wushu competitions and championships at both tertiary and national level. Contact us at: cca_wushu@connect.np.edu.sg"
,,,,,,Yoga,"Yoga is a sport that unites and balances your body, mind and breathing. In weekly practices, members will learn asanas (postures), pranayama (ways of breathing) and brush up on knowledge about yoga. The club welcomes students of all religion, gender and background Contact us at: cca_yoga@connect.np.edu.sg"
,,,,,,BP-NP Mentoring,"Founded to aid academically poor students in primary and secondary school, our members share life experiences with the less privileged students. They aim to grow the students’ interest in learning and help them become enterprising young leaders. BP-NP mentors currently serve in seven different institutions around Singapore. Contact us at: cca_mentoring@connect.np.edu.sg Follow us on Instagram: bpnpmentors"
,,,,,,Environmental Rangers Club,"The club is an environmental group that hopes to instill a sens e of responsibility and passion in our members and the school population towards the environment. Through new and creative ideas to overcome environmental issues, we aim to transform the campus into a greener place to work and play. Contact us at: cca_erangers@connect.np.edu.sg Follow us on Instagram: nperangers"
,,,,,,Food Aid,"The Food Aid club aims to help the less fortunate individuals and families who cannot afford to have sufficient food for themselves. We also aim to widen students' perspective on issues surrounding food through our community service programmes, such as liaising with other welfare organisations on fund-raising and food donation drives. Contact us at: cca_foodaid@connect.np.edu.sg"
,,,,,,Hi! Club,"The Hi! Club aims to unite our hearing and non-hearing counterparts. Through sign language courses by dedicated instructors, our members understand the language and gain a passion for our cause. The club also engages in song signing and sign language drama performances for both school-based and external events. Contact us at: cca_hi@connect.np.edu.sg"
,,,,,,Leo Club,"The Leo Club serves a varying audience, from children to the elderly. Through projects and volunteer activities, the club provides development and contribution opportunities for youth, individually and collectively, to give back to the local, national and international community. Contact us at: cca_leo@connect.np.edu.sg"
,,,,,,NP BB Primers,"Established under the umbrella of The Boys' Brigade in Singapore, NP BB Primers are given numerous opportunities to develop and nurture their leadership abilities and character, from event planning to taking part in the National Day Parade as crowd motivators. The group also sets up booths around the campus and goes door-to-door in a designated residential area to appeal for food donations Contact us at: cca_primers@connect.np.edu.sg"
,,,,,,Red Cross Youth Chapter,"Through working with the Singapore Red Cross Society, RCY members get various opportunities to develop their First Aid proficiency through courses. The chapter also organises blood donation drives on a tri-annual basis, and other Community Involvement Programme (CIP) opportunities, allowing members to give back to society. Contact us at: cca_redcross@connect.np.edu.sg"
