year,school,course_name,course_code,course_description,,cca_name,cca_description,Olevel
2021,School of Engineering,Diploma in Automation & Mechatronic Systems,N50,Diploma in Automation & Mechatronic Systems (N50) prepares students for careers in the automation industries. Students will learn to use automation and mechatronic technology to develop solutions for consumer products and industrial applications.,,Hip Hop,"More popularly known as New Revolving Age (NRA), the hip hop club nurtures its dancers in various genres, such as Old School Hip Hop, New School Hip Hop, Jazz Funk, Street Jazz, Popping, Locking and Lyrical Jazz. The club is also known for its bi-annual dance production, Danzation.  Contact us at: cca_hiphop@connect.np.edu.sg",17
2021,School of Engineering,Diploma in Biomedical Engineering,N60,"Diploma in Biomedical Engineering (N60) provides a broad-based and practice-oriented training to design, develop and/or service medical devices and equipment, including body implants and rehabilitation products for the healthcare industry.",,Indian Cultural Society?,"NP Indian Cultural Society (ICS) is a performing arts CCA based on Culture and Values and is open to all Indian students to join. NPICS has come far and has spearheaded a new stage production called ‘Arangetraa’ in replacement of and in tribute to ‘Jeeva Gaanam’. We also have a bi-annual Inter-Tertiary Competition ‘Aaraathanaa’ that serves as a platform for Indian Youth to showcase their talents. Not only do we perform arts but we also give back to the community by being involved in charity work and providing a holistic experience for our members. More than just a CCA, ICS is the embodiment of the strong Indian community in Ngee Ann. CCA days are every Friday, from 6pm – 8pm. CCA Instagram Link : @np_ics Contact us at: cca_indian@connect.np.edu.sg",10
2021,School of Engineering,Common Engineering Programme,N71,Common Engineering Programme (N71)provides broad-based engineering foundation for students to choose either Mechanical or Electrical/Electronic track at end of 1st sem. Students learn modules of chosen track before deciding one of the 9 courses to major in at end of 2nd semester.,,Japanese Cultural,"The Japanese Cultural Club in Ngee Ann Polytechnic was founded in 1998. It has since expanded to 6 different divisions in 2018 consisting of Cultural, Comink, Cosplay & J-Fashion, Language, Taiko and Tea Ceremony. Our mission is to teach a variety of Japanese culture to students through slide sessions, games, quizzes, direct exposure of that culture and other fun activities like Japanese school exchanges! Contact us at: cca_japanese@connect.np.edu.sg Follow us on Instagram: ngeeann.jcc?",19
2021,School of Engineering,Diploma in Electrical Engineering,N43,Diploma in Electrical Engineering (N43) equips students with knowledge and skills to enter the growing and exciting clean energy and electrical industry. The Diploma has 2 specialisations: Clean Energy Management and Power Engineering.,,Korean Cultural,"The Korean Cultural Club (KCC) is the first Korean club in a Singaporean education institution, and has the endorsement and support of the Singapore Korean Embassy. KCC aims to raise awareness about Korean culture and gives NP students the opportunity to learn basic conversational Korean language. The club also comprises a Korean Pop dance group.  Contact us at: cca_korean@connect.np.edu.sg",21
2021,School of Engineering,Diploma in Electronic & Computer Engineering,N44,"Diploma in Electronic & Computer Engineering (N44) equips students with knowledge and skills in maintenance and design of electronic & computer systems especially in the core areas of circuit & system design, programming and communications.",,Malay Cultural,"The Malay Cultural Club (MCC) comprises 5 active department: Guys Dikir, Girls Dikir, Warisan Mandling (Dance), Sri Nadi (Drama), and language. Some notable productions of MCC include 'Piala Khatulistiwa' , an annual dikir competition, and 'Dinamis Seni', an annual production that showcases the different departments in MCC Contact us at: cca_malay@connect.np.edu.sg",15
2021,School of Engineering,Diploma in Engineering Science,N93,Diploma in Engineering Science (N93) bridges the gap between science and practical engineering.  It prepares graduates for future careers in research & development (R&D) and for further studies.,,Percussion,"Baracuda Batucada is NP’s Percussion club. Since 2004, the samba ensemble has performed in various places, from campus events to larger venues like Orchard Road, Zouk, and even abroad in China. The club is also easily recognised by their hard-thumping rhythms heard around campus. Contact us at: cca_percussion@connect.np.edu.sg",11
2021,School of Engineering,Diploma in Marine & Offshore Technology,N42,"Diploma in Marine & Offshore Technology (N42) equips students with the appropriate technical knowledge, management and communication skills to be assistant engineers, technologists or supervisors in the marine and offshore industry.",,Photography,"Members will be taught the basics and technical know-how of photography and videography, including the appreciation of aesthetics. Through covering actual events, members get to explore various types of photography, such as Abstract, Portraits, People, Nature, Studio and Events. They also get to dabble in corporate videos and event videography. Contact us at: cca_photography@connect.np.edu.sg",18
2021,School of Engineering,Diploma in Mechanical Engineering,N41,"Diploma in Mechanical Engineering (N41) prepares students for industries like aerospace, marine, automotive, manufacturing and infrastructure. They will learn computer aided design, materials & manufacturing, automation, thermofluids & mechanics.",,Piano,The Piano Club is more commonly known as Klavierensemble. The ensemble aims to raise the standard of piano playing in school and hopes to showcase the beauty and versatility of the piano. Members can join either the 'Debussy' group or the less experienced 'Mozart' group. Contact us at: cca_piano@connect.np.edu.sg,18
2021,School of Film & Media Studies,"Diploma in Film, Sound & Video",N82,"Diploma in Film, Sound & Video (N82) provides a strong foundation in the artistic and technical aspects of filmmaking. Through the course, students will acquire skills to help them propel their career in the film and media industry.",,Song Composing,"Kick start your music or song writing career with the Song Composing Club. Focusing on English Pop/Rock music, members will be taught the essentials of song writing, including basic musical and compositional theory. Members are provided with their very own studio, exclusive to the club, for practice sessions and to experiment with music by themselves. Contact us at: cca_song@connect.np.edu.sg",8
2021,School of Film & Media Studies,Diploma in Mass Communication,N67,"Diploma in Mass Communication (N67) offers a robust broad-based curriculum covering print, online and broadcast journalism to advertising, public relations, radio, TV and social media, preparing our students for a career in the media industry.",,Stage Production,The Poly Stage Production (PSP) aims to expose its members to what lies behind the scenes of stage productions. Members will learn about backstage production and the handling of light and sound systems. PSP has assisted in campus concerts for local and international artists. The club also regularly provides support for campus performances and events of the other CCA clubs. Contact us at: cca_stage@connect.np.edu.sg,8
2021,School of Film & Media Studies,Diploma in Media Post-Production,N13,"Diploma in Media Post-Production (N13) covers traditional film and television post-production skills like editing, color correction and 3D computer and motion graphics. It will also cover post-production for AR/VR, immersive media and live shows.",,Strings,"The Strings Club aims to promote the appreciation of classical music amongst students. The club consists of 2 sections: Strings Ensemble and Guitar Ensemble. To increase the versatility of the club, the Strings Club hopes to adapt and infuse new genres, such as pop, into their music. The club is also actively involved in performing for various school and external events. Contact us at: cca_strings@connect.np.edu.sg",12
2021,School of Health Sciences,Diploma in Nursing,N69,Diploma in Nursing (N69) is accredited by the Singapore Nursing Board and is a comprehensive course that prepares students to be versatile and work-ready nurses with a human touch.,,Voices,"Each singer in NP Voices learns to grow and flourish as performers, and gain appreciation of different genres of music in Chorale and A Capp?ella singing. Every year, NP Voices holds its biggest event: Grandioso. Other regular activities include in-school training camps and mini-concerts. Members can also participate in carolling during the Christmas season every year. Contact us at: cca_voices@connect.np.edu.sg",28
2021,School of Health Sciences,Diploma in Optometry,N83,Diploma in Optometry (N83) prepares students to become an optometrist to diagnose eye disorders and prescribe optical corrections to meet the increasing demand of eye care services due to the aging population and myopia epidemic in Singapore.,,Aerobics,"The NP Aerobics Club caters to individuals of all fitness levels, from those who have not tried aerobics to those who already have their own exercise regime. Workouts include cardiovascular training, muscle strengthening and toning exercises, and strength and weight training. Contact us at: cca_aerobics@connect.np.edu.sg Follow us on Instagram: @npaerobics",12
2021,School of Humanities & Social Sciences,Diploma in Arts Business Management,N91,Diploma in Arts Business Management (N91) develops arts and heritage managers with grounding in both arts and heritage management and business.Graduates will be equipped with the necessary skills needed to develop and manage arts and heritage enterprises.,,Archery ,"Since its inception in 1998, the Archery Club has won numerous medals in national-level competitions. Particularly skilled and passionate club members have also been a part of Singapore's National Team, or had the opportunity to represent the polytechnic in archery competitions and events. Contact us at: cca_archery@connect.np.edu.sg Follow us on Instagram: @nparchery",8
2021,School of Humanities & Social Sciences,Diploma in Chinese Media & Communication,N88,"Diploma in Chinese Media & Communication (N88) is the only local programme that specialises in the Chinese Media industry.  The diploma aims to nurture creative media professionals who are bilingual, and well-versed in Chinese culture.",,Badminton,"The badminton club provides a great environment for recreational players who want to improve their skills by sparring matches and workouts. The club also provides leadership training, in the form of planning and management. The club is the executive organiser of tournaments, such as the Inter-Club Badminton Competition, as well as Intra-School badminton competitions like NP Open, NP Doubles and Polympics.  Contact us at: cca_badminton@connect.np.edu.sg Follow us on Instagram: npbadmintonclub",12
2021,School of Humanities & Social Sciences,Diploma in Chinese Studies,N70,"Diploma in Chinese Studies (N70) develops professionals who are proficient in Chinese language and culture. Students can work as Chinese language teachers in pre and primary schools, translators, journalists, or heritage programme managers.",,Basketball,The Ngee Ann Basketball Club is one of the ranked institutes in the Inter-Varsity Championships. Interested members are welcome to join the club for try-outs and training sessions. The club also conducts annual camps and friendly matches outside of training time. Contact us at: cca_basketball@connect.np.edu.sg  Follow us on Instagram: npbasketball_team,10
2021,School of Humanities & Social Sciences,Diploma in Community Development,N11,"Diploma in Community Development (N11) aims to develop compassionate, enterprising, and reflective professionals with knowledge of the different segments of the community, and the principles of social innovation and business development, to empower communities to effect change.",,Bowling,"The Bowling Club aims to develop and train members in bowling. They believe it is a game played with cunning strategy, mental strength, and keen teamwork. The club is open to individuals of any experience level. Contact us at: cca_bowling@connect.np.edu.sg Follow us on Instagram: np_bowlingclub",9
2021,School of Humanities & Social Sciences,Diploma in Early Childhood Development & Education,N96,"Diploma in Early Childhood Development & Education (N96), recognised by the Early Childhood Development Agency (ECDA), aims equips students with the practical skillset and necessary knowledge to pursue a career in early childhood.",,Canoeing,The Canoeing Club trains intensely in two main groups: Canoe Polo and Canoe Sprinting. The first is a competitive sport that is a mix of basketball and water polo on kayaks. The latter consists of canoe marathons and sprinting competitions that test your strength and endurance. Sprinting boats are built differently from Canoe Polo boats and can achieve greater speeds. Contact us at: cca_canoeing@connect.np.edu.sg Follow us on Instagram: npcanoeing,17
2021,School of Humanities & Social Sciences,Diploma in Tamil Studies with Early Education,N95,Diploma in Tamil Studies with Early Education (N95) is the first and only such diploma course in Singapore. [NP] Diploma provides students with the needed knowledge and skills to pursue a career as Tamil Language preschool teacher.,,Climbing Club,"The Climbing Club specialises in adventure racing and rock climbing. Adventure Racing is a multi-discipline endurance ""sport"", with elements from various other adventure sports thrown into the mix. Under Rock Climbing, the club focuses on top rope climbing, speed climbing, bouldering and lead climbing. The club also has their own tower, equipped with climbing lanes, abseil lanes, flying fox, and various low elements. Contact us at: cca_climbing@connect.np.edu.sg Follow us on Instagram: npsloths",22
2021,School of InfoComm Technology,Common ICT Programme,N98,Common ICT Programme (N98) provides students more time to discover their interests by taking foundation modules introducing the three IT-related diplomas they can choose at the end of their first semester.,,Cue Sports,"With cue sports, it’s all about skills, precision and strategy. Cue sports is a billiard game that is played using 22 balls – one cue ball, 15 red balls, and 6 different coloured balls with different point valuations. Members will learn to master the game and become better competitive or recreational players.  Contact us at: cca_snooker@connect.np.edu.sg Follow us on Instagram: npcuesports",11
2021,School of InfoComm Technology,Diploma in Cybersecurity & Digital Forensics,N94,"Diploma in Cybersecurity & Digital Forensics (N94)  equips graduates with technical and general skills & competencies required to carry out critical work functions and key tasks related to vulnerability assessment and penetration testing, security operations, digital forensics investigation, cyber incident response, secure software development, and cyber governance, risk and data protection.",,Dragon Boat,"The Dragon Boat Club (NPDB) carries an illustrious history, coupled with a fierce reputation for determination and strength in the Singapore Dragon Boat fraternity. The team participates in international regattas and races, such as the Malaysian Dragon Boat Regatta, and in non-dragon boat events like 'Surf & Sweat' that help to foster team spirit and co-operation. Contact us at: cca_dragonboat@connect.np.edu.sg Follow us on Instagram: npdragonboat",8
2021,School of InfoComm Technology,Diploma in Data Science,N81,"Diploma in Data Science (N81) is designed to train students to fully grasp new employment opportunities in the field of data analytics and data engineering. As data analysts, graduates use analytical tools and apply software tools to investigate leads, identify patterns and insights from data, and offer solutions to address information needs of the organisation. As data engineers, they would set up data pipelines to ingest data from multiple sources, perform data extraction, transformation, and loading tasks, and wrangle data for further processing.",,Fencing,The Fencing Club exercises both the mind and the body. New members have the opportunity choose which weapon group they are most comfortable with. The club participates in the annual Novices and Fencing Singapore (FS) competitions and the Inter-School Fencing Invites. Contact us at: cca_fencing@connect.np.edu.sg,12
2021,School of InfoComm Technology,Diploma in Immersive Media,N55,"Diploma in Immersive Media (N55) is a practice-oriented course that equip you with the technical and creative skills needed for the cutting-edge field of immersive media, and learn how to bridge design and technology with user experience and user interface (UX/UI) design. You will receive rigorous training in design and programming, as well as gamification concepts and rules intended to produce an enjoyable game or extended reality experience (AR, VR & MR).",,Floorball,"Floorball may be one of Singapore's youngest sports, but NP Floorball has a competitive team that takes part in Polytechnic-ITE (POL-ITE) and Inter Varsity Polytechnic (IVP) competitions. These help players gain exposure and experience.The club also organises training and bonding camps and gatherings. Contact us at: cca_floorball@connect.np.edu.sg",13
2021,School of InfoComm Technology,Diploma in Information Technology,N54,"Diploma in Information Technology (N54) allows you to develop innovative IT solutions that increase business competitiveness and enhance quality of life, or even start your very own e-business.",,Football,NP’s Football club gives students the opportunity to develop both as a football player and an individual. They believe in pushing each member to their fullest potential and endeavouring to be the best. The team’s passion and hard work has brought them success in the POL-ITE and Institute-Varsity-Polytechnic games.  Contact us at: cca_football@connect.np.edu.sg,12
2021,School of Life Sciences & Chemical Technology,Diploma in Biomedical Science,N59,"Diploma in Biomedical Science (N59) offers a broad-based curriculum designed to develop analytical, research and problem solving skills to prepare students for Singapore?s biomedical science and biotechnology sectors.",,Handball,"Handball is a fast-paced and dynamic contact sport that requires athleticism, strength and teamwork. The NP Handball club came in 1st runner up in the POL-ITE Games in 2011 and emerged champions in 2012. The club also offers opportunities for members to polish their skills in regular friendly matches and tournaments.  Contact us at: cca_handball@connect.np.edu.sg",8
2021,School of Life Sciences & Chemical Technology,Diploma in Chemical & Biomolecular Engineering,N56,Diploma in Chemical & Biomolecular Engineering (N56) equips students with the practical skillset and necessary knowledge for the operations of industrial chemical and biopharmaceutical processes.,,Hockey,"The Hockey Club strives to do well in the POL-ITE and Inter-Varsity tournaments every year, and considers that their benchmark in competitive success. The club welcomes students who are interested in picking up hockey for recreation or looking to become more competent sportsmen and sportswomen. They also organise friendly matches with other schools and clubs. Contact us at: cca_hockey@connect.np.edu.sg",11
2021,School of Life Sciences & Chemical Technology,Diploma in Environmental & Water Technology,N74,"Diploma in Environmental & Water Technology (N74) focuses on environmental science and technology to equip students with domain specific knowledge and skills in water, environment and related industries.",,Inline Skating,"The Inline Skating Club is home to a sport of finesse and strength — roller-skating. The two aspects they focus on are slide and slalom. Under slide, skaters position their legs differently to execute various slides, while in slalom, skaters manoeuvre through a line of cones while performing tricks. Contact us at: cca_inline@connect.np.edu.sg",14
2021,School of Life Sciences & Chemical Technology,Diploma in Landscape Design & Horticulture,N57,"Diploma in Landscape Design & Horticulture (N57) provides broad based training in landscape design, plant sciences and horticulture management.",,Judo,"Judo teaches the principle of flexibility in the application of technique. It cultivates self-discipline and respect for oneself and others, by providing the means for concentration and physical coordination, power and flexibility. Training sessions include practising throws and groundwork, learning new techniques, and tandoori (free practice). Contact us at: cca_judo@connect.np.edu.sg",15
2021,School of Life Sciences & Chemical Technology,Diploma in Pharmaceutical Science,N73,Diploma in Pharmaceutical Science (N73) allows you to discover what it is like to work at the forefront of drug therapy and improve human health. You get to acquire knowledge and skills in clinical practice and the industry.,,Lifesaving,"The main aim of the NP Lifesaving corps is to prevent the loss of life and promote the safe participation in water related pursuits. The team trains for internationally recognised lifesaving awards, as well as participates in annual lifesaving competitions like NUS Lifesaving Invitational and SLSS National Lifesaving Championships. Contact us at: cca_lifesaving@connect.np.edu.sg",9
